7	5
7	6
7	8
7	9
7	10
7	12
7	26
7	57
7	70
7	82
9	2
9	5
9	6
9	7
9	8
9	10
9	11
9	12
9	13
9	17
9	21
9	27
9	35
9	38
9	41
9	42
9	52
9	70
9	82
9	83
9	84
9	92
9	97
9	103
9	104
10	3
10	4
10	5
10	6
10	7
10	8
10	9
10	12
10	18
10	26
10	28
10	53
10	56
10	63
10	70
10	82
15	102
20	88
22	25
22	74
24	25
25	22
25	23
25	29
25	32
25	43
25	44
25	47
25	48
25	49
25	52
25	60
25	61
25	71
25	72
25	73
25	81
25	88
25	89
25	90
25	95
25	98
25	100
25	102
31	25
37	48
64	25
65	25
69	25
73	29
76	25
77	95
79	78
81	25
40	25
44	16
44	45
44	100
48	25
54	38
59	25
88	0
88	33
88	36
88	44
88	55
88	67
88	75
90	25
90	86
90	98
91	62
93	95
95	32
95	94
96	32
98	19
98	25
98	44
98	46
98	89
98	90
98	91
98	95
98	99
98	102
100	79
100	80
100	101
102	1
102	14
102	16
102	30
102	34
102	39
102	43
102	48
102	50
102	51
102	58
102	66
102	68
102	85
102	87
102	88
105	25
